CIS;CIS SIC
BCELMY;CYMBEL
CENSTY;CYSTEN
CERSTY;CYSTER
CINSTY;CYSTIN
ACESTY;CYTASE
CDEOTY;CYTODE
ACDITT;DACITT
ACDNOR;DACRON
ACDENN;DANCEN
CDEENS;DECENS
CDIMTU;DICTUM
CDEIOS;DIOCES
CDISSU;DISCUS
ACDHIT;DITCHA
CDEHIT;DITCHE
CDOORT;DOCTOR
CDINOU;DOUCIN
CDSTUU;DUCTUS
CDILNU;DULCIN
ACEERT;ECARTE
ACEILR;ECLAIR
CEEENU;ECUENE
CEENOR;ENCORE
CEIOOR;EROICO
ACEEPS;ESCAPE
CDEOSU;ESCUDO
ACEFIS;FACIES FASCIE
ACEEFS;FAECES
ACEFSS;FASCES
AACFIS;FASCIA
CEEFOR;FEROCE
CFISSU;FISCUS
CEEEFL;FLEECE
CFHORS;FROSCH
ACGNOR;GARCON
ACGHOU;GAUCHO
ACGILS;GLACIS
ACEGNR;GRACEN
ACEHKR;HACKER
ACEHKS;HACKES
ACEHKT;HACKET
CEHHIT;HITECH
CEHKOY;HOCKEY
CEINST;INCEST
CEHINS;INCHES
AACIRS;ISRACA
ACEIRS;ISRACE
ACEJKT;JACKET
CEJKOY;JOCKEY
CEIJNU;JUICEN
CEIJRU;JUICER
CEIKKN;KICKEN
CEIKKR;KICKER
CEIKKS;KICKES
CEIKKT;KICKET
CHIIKM;KIMCHI
CHIKRS;KIRSCH
CHIKST;KITSCH
ACKKNO;KNOCKA
CEKKNO;KNOCKE
AACHKW;KWACHA
CEILNU;LEUCIN
CEHILN;LICHEN
CHIILT;LITCHI
CDEILU;LUCIDE
CEELRY;LYCEER
CEELTY;LYCEET
CELMUY;LYCEUM
AACHMT;MATCHA
ACEHMT;MATCHE
ACELMS;MESCAL
CEIMNO;MIOCEN
CEHMOU;MOUCHE
ACIMNU;MUCINA
ACELMY;MYCELA
ACHNOS;NACHOS
ACIINN;NIACIN
CEIKNT;NICKET
BCENOO;NOCEBO
COOTTY;OOCYTT
CENNOU;OUNCEN
CENORU;OUNCER
ACDEEP;PACEDE
ACEEPR;PACERE
ACEEPT;PACETE
ACGINP;PACING
ACENPR;PARCEN
ACEPRR;PARCER
AACLPS;PASCAL
AAACPT;PATACA
ACEHPS;PESACH
ACEINP;PICAEN
CIKPPU;PICKUP
CEEINP;PIECEN
CEEIPR;PIECER PIERCE RECIPE
ACEIPR;PIERCA
ACHIPT;PITCHA
CEHIPT;PITCHE
CEKOPT;POCKET
CILOPY;POLICY
CENOPR;PONCER
CHNOOP;PONCHO
CEKNPU;PUCKEN
CEKPRU;PUCKER
ACHNPU;PUNCHA
CEHNPU;PUNCHE
CEHIQU;QUICHE
ACEERR;RACERE
ACGINR;RACING
ACEKNR;RACKEN
ACEKRR;RACKER
ACEKRT;RACKET
CEHRST;RECHTS
CEKNOR;ROCKEN
CEKORR;ROCKER
CEKORS;ROCKES
CEKORT;ROCKET
CRSTUU;RUCTUS
ACELRS;SCALER
ACIMPS;SCAMPI
ACINPS;SCAPIN
AACSTT;SCATTA
CEENNS;SCENEN
CEENRS;SCENER SCREEN
CHOPSU;SCHUPO
ACILLS;SCILLA
CENOSS;SCONES
ACOOPS;SCOOPA
CEORRS;SCORER
CIPRST;SCRIPT
CEEILS;SIECLE
ACKLSS;SLACKS
ACKNSS;SNACKS
ACENPS;SPACEN
CDIISU;SUICID
CLSSUU;SULCUS
ACEORT;TACOER
ACSTTU;TACTUS
CEEINT;TICENE
CEINTT;TICENT
ACHOTU;TOUCHA
CEHOTU;TOUCHE
ACERRT;TRACER
ACERTT;TRACET
ACELRU;ULCERA
ACILNU;UNCIAL
CINOTU;UNCTIO
ACILRU;URACIL
ACIRTU;URTICA
ACENSU;USANCE
ACSUUV;VACUUS
CEELOV;VELOCE
ACEISV;VESICA
ACEIVV;VIVACE
