AELNORSU;LUESNORA
AADENRSV;SANDARVE SANDREVA
AAEILSTU;SEILTAUA
AAEFKRST;SEKRAFTA
AAEHINRS;SHARIAEN
AADLNORS;SOLRANDA
AAEERSTV;TAREVASE
AAKMNRST;TRANSMAK
AEKLRRTU;UKLARERT UTKLARER
AEGIKMSU;UMAGISKE
AILNOPRU;UNIPOLAR
EEHINRTU;UREINHET
DEIMNORU;URIDOMEN
DEEIKSTU;USIKTEDE
AAEELRTU;UTEAREAL
AEEGNTUV;UTGAVENE
ADEGRTUV;UTGRAVDE
DEEGIRTU;UTGREIDE
AEHMRSTU;UTHAMRES
EEILMSTU;UTMEISLE
ABEIRTUV;UVEIBART
AAEGNRTV;VAGANTER VARTEGNA
AEFGILRV;VALGFRIE
ADGINSTV;VANDIGST
AEGMNRUV;VANGEMUR
ABEKRSUV;VARBUKSE
AEEHIRSV;VAREHEIS
ABEKMNRV;VARMBENK
ABDEENRV;VENDBARE
AEKMNSUV;VENUSKAM
AEGHINRV;VINHAGER
AIKLNTUV;VINLUKTA
EILNSTVØ;VINSØLET
ADEEKNOV;VODKAENE
ADEGKRSY;YRKESDAG
EEKMNRSØ;ØKSEMNER
DEIKLNSØ;ØLDISKEN
EELNRTVØ;ØLVERTEN
EKMNORTØ;ØRKENTOM
EMNRSTUØ;ØSTMUREN
AEEILNTÅ;ÅLETEINA
AEEGLNRÅ;ÅRELANGE
EGILNRTÅ;ÅTLINGER
AABEKLRT;ABLAKTER BAKTALER KABALERT
ADEEINNR;ADENINER ADRIENEN ADRIENNE DINARENE
ADEENRSS;ADRESSEN RASSENDE
AEFKNSTY;AFTENSKY
ABEGKNRØ;AGNBØKER
AEEIKNNT;AKINETEN AKTINENE TAKINENE
AEEIKRSS;AKSISERE
AAEKLSTU;AKTLAUSE ASKELUTA TAKLAUSE
AAEIKRTV;AKVARIET RIVETAKA VEIKARTA
AABEELNR;ALBANERE BANALERE
AABELORS;ALBAROSE
AEEEILNR;ALIENERE
AEEILLRT;ALLIERTE
AEKLLORT;ALLOKERT KOLLATER LEKTORAL
AAEELMRT;ALMETREA
AEELNNRU;ALRUNENE
ABEIMRTV;AMBIVERT VERBATIM
AEEHIMNS;AMISHENE
ABEMORTU;AMORBUET
AEIMNORR;AMORINER MORIANER
ABENORRT;ANBETROR BARNETRO BARROTEN BROTRENA
ADEGINRR;ANDREGIR GARDINER GIRANDER GRADINER RADERING
ADMNRSTØ;ANDSTRØM STRØMAND
ADEENTUV;ANDUVETE AVUNDETE
AEELNNOT;ANETOLEN ETANOLEN
AEEGNNST;ANGSTENE ANTEGNES SATENGEN
AEGINSST;ANSIGSTE ENSATSIG STEINSAG
AEKNNSTU;ANSTUKNE
AENRRSTY;ANSTYRER
AAENRSTT;ANTASTER STATAREN
AAEENPRS;APERASEN PANASEER
AEENPRTY;APETRYNE NYPETREA PARTYENE
AILNPRSØ;APRILSNØ
AABEIKRS;ARABISKE
AAGKNORS;ARAGONSK SANGKORA
ADEKORRS;ARDOKSER RORSKADE
AEINOORS;ARIOSOEN
ADEFMORT;ATOMFRED
AEEJNOST;ATSJOENE
AELOSTUY;AUTOLYSE LAYOUTES
AAEELRSV;AVALERES
AAEGLNRV;AVANGLER RAVGALEN RAVGALNE RAVNEGAL VARNAGLE
ADEEFNRV;AVFERDEN FRAVENDE
ADEEGINV;AVGIENDE
AEFGINTV;AVGIFTEN VEFTINGA VINFAGET
ABEINSUV;AVISBUEN
AEIRSTVÅ;AVISÅRET
AEEKLMTV;AVKLEMTE KVALMETE MELVEKTA
ABEKLOSV;AVKOBLES
ADEELMRV;AVMELDER
AEELPSTV;AVPELSET AVSPELTE
AEENNRSV;AVRENNES VANNESER
AEEGSTUV;AVSUGETE
ABDEEKNO;BADEKONE BEDEKONA KODEBENA
ABEFKNOT;BAKFOTEN
ABEEKPRT;BAKREPET
AABEGNRT;BARGATEN GATEBARN
ABDEKLRV;BARKVELD BLADVERK
ABKNRSTY;BARNSYKT SYNKBART
ABEKLNSY;BASKYLEN BLYASKEN
ABDEENSU;BAUSENDE
ABEEGRTV;BEGRAVET
BEILNSTØ;BEINLØST ØSTBILEN
BEEIKNRV;BEINVERK
BEEFILNR;BENFILER
BEGNORTV;BENGROVT
BEEFKNRT;BENKREFT
ABEELNPT;BEPLANTE
BDEEGINR;BEREDING BRIGDENE
BEGMORST;BERGSOMT TOGBREMS
BEEGRSTU;BERGSTUE
BEEGILOR;BEROLIGE OBLIGERE
BEEFIRST;BESIFRET
ABDEGIKS;BESKADIG
ABEEFKNS;BESKAFNE
BEEORSTV;BESVORET
BEEILRTV;BETVILER ILBREVET
BDEENRTU;BEUNDRET
BEEINSTV;BEVITNES
ABEHNRTU;BHUTANER BRUNHETA
ABEHIKNS;BIHANSKE
ABDEILMN;BILDAMEN
ABEFGILR;BILFARGE BILFERGA
ABEGILNV;BILGAVEN
BEILMNRU;BILNUMRE
ABEINOPT;BIOPATEN
ABDEEGLN;BLAGENDE
ABEHKLNT;BLANKHET
ABDEELRU;BLAUDERE UDELBARE
ABEKLSTØ;BLEKSØTA
BDEEILST;BLIDESTE
ABDEIKLO;BLODEIKA
BEGIKOST;BOGSTEIK BOKSTIGE
ABGIKNOS;BOKSINGA
BEEIKLOS;BOKSLEIE
BDEIKNOT;BOKTIDEN
BDEELNOS;BOLSENDE NESEBLOD
BEKLNOTU;BONEKLUT
ABEFLRTU;BRUFELTA BUFLATER FABULERT FELTBRUA FLATBUER
ABLMNRTU;BRUNMALT
BGINRSTU;BRUNSTIG
ABEKRTUV;BRUVEKTA BUKRAVET TVEBRUKA VAKTBUER
BEENRSTY;BRYSTENE BYSENTER BYSENTRE
ABDEGRTU;BUDRAGET
ABEENRUV;BUENERVA
ABDEKLNU;BUKLANDE
ABEGMNRU;BUMERANG
ABEFNSTU;BUSEFANT SAFTBUEN
BEILRSTY;BYLISTER
ADEEGIMS;DAGSMEIE SEIGDAME
ADEGKNTØ;DAGØKTEN
ADEEHILN;DAHLIENE HANDLEIE NIHALEDE
ADEKNNOR;DAKRONEN
ADEFIMNT;DAMEFINT
ADEELMNU;DAMELUEN MAULENDE
ADEEMNPR;DAMPEREN DAMPERNE
ADEIMNPS;DAMSNIPE IMPEDANS
AABDENRS;DANSBARE DANSEBAR
AADEGLNS;DANSEGAL DANSELAG NEDSLAGA
AADENRTV;DATAVERN DRAVATEN
DEEINOPR;DEPONIER PERIODEN
DEIKMRTU;DIKTUMER MIDTUKER
ADILOPRT;DIPOLART
DEIPRSTU;DISPUTER
ABDIKORT;DRITBOKA
BDELNORU;DUBLONER
DEFNORTU;DUNFORET DUNFOTER UNDERFOT
DEILNPRU;DUNPILER PRELUDIN
DENOPRSU;DUNPOSER PONDUSER
ADGIKNSU;DUSKINGA UGANDISK
ADEGILNØ;DØGNLEIA
DEEKLRSØ;DØLSKERE
ADELRTVØ;DØRTAVLE
ADEEFIKS;EDAFISKE
DEEGILRU;EDRUELIG UREDELIG
EEGIMOST;EGOTISME
AEEFIMOR;EIEFORMA
AEEKKRST;EKSKRETA ETARSEKK KASKERTE
AEEKNSST;EKSTASEN KASNESTE KNASESTE NASKESTE NESEKAST SNAKESTE SNASKETE TEKASSEN TESSAKEN
EEIKNOPT;EKTOPIEN PIKOTENE
AEIKLSST;ELASTISK SAKLISTE SALTSKEI
BEEGLNRU;ELGBRUEN
EEGKLNRY;ELGKYRNE
EEGLMRTU;EMULGERT RUGMELET
AEEEKNRT;ENAKTERE KARETENE KATERENE TRAKEENE
DELNOSTY;ENDOSTYL
AAEFGNRS;ENSFARGA
AEEFIPRT;EPITAFER
ADEEGLPR;EPLEGARD LADEGREP
ADEEILPT;EPLETIDA
EEIORRST;EROTISER ISOTERER OSTERIER
AAEKPRST;ETARSKAP TRESKAPA
EEFINORU;EUFONIER EUFORIEN
AEEFGLRU;FAGERLUE LEGEFRUA LUEFARGE
ADEFGKOR;FAGKODER FARGEKOD
AEFGLRSØ;FARGELØS
ADEFKNTU;FATDUKEN
AEEFGIKT;FEAKTIGE
EEFIKOST;FEIEKOST
EEFGILST;FEILSTEG FESTLIGE
DEEFLORT;FELTDOER FORDELTE FOREDLET FORELDET FORLEDET
AEEFKMST;FEMAKSET SKAMFETE
EEFILMRT;FEMLITER FLIMRETE
EEFIMNST;FEMSTEIN
AEEFGMRT;FERGEMAT GRAFEMET
ADEEFGIR;FERIEDAG
EEFKNSTU;FESTUKEN
ABFIKRST;FIKSBART FISKBART SKIFTBAR
DEFILMNR;FILMNERD
DEEFILNT;FILTENDE FINDELTE FITLENDE NEDFILTE
EFINOPRT;FINPORET FORPINTE
AEFILOPR;FIREPOLA FORPLEIA
EFIKLSTU;FISELUKT FLUESKIT LUTEFISK
EFIKMORS;FISKEROM
ADEFILRV;FIVRELDA
AEEFLNPS;FLAPSENE
EEFILRSV;FLERVEIS
AFGILNOT;FLOATING
AFKLORSU;FLOSKURA
AFGILNRU;FLURINGA
DEFIKLOR;FOLDERIK FOLDRIKE
EFGLNORU;FOLUNGER UNGFOLER
BEEFNORS;FORBENES
AEFHLORT;FORHALET FORHALTE
EFKLMORT;FORKLEMT
EEFLMNOR;FORMELEN FORMLENE
AEFKOPRT;FORPAKTE
FGIKNORS;FORSKING ROGNFISK
AFILMORS;FORSLIMA MARSFIOL
FGILORST;FORSTLIG
EFNORSTY;FORSYNET FORSYNTE
EFILORTV;FORTVILE
EFKLORSV;FORVEKSL
EEFNORTV;FORVENTE FOTNERVE
AEFLNOPT;FOTPANEL
ABEFIMNR;FRAMBEIN
AEFIMRSV;FRAMVISE
AEFKNRRT;FRANKERT
AEFKNNRS;FRANSKEN
EEFKLMRS;FREMELSK
AEFMNPRT;FREMPANT
DEFIMRST;FREMSIDT
ABDEFIRT;FRIBADET
EFILNRTY;FRILYNTE
DEEFNRSU;FRUSENDE FUNDERES RUFSENDE SURFENDE
EEFGNRTU;FUNGERTE
ADEFLNRØ;FØRLADEN FØRLADNE
EEFLNRSØ;FØRSELEN FØRSLENE NESLEFRØ
AEGILLRS;GALLISER
ABEEGLMR;GAMBLERE
ADGLRSTØ;GARDLØST
AEEGJRST;GASJERTE
ADEGLOTV;GATEVOLD
AEGKRSUY;GAUKSYRE
EEFGIORT;GEITEFOR TOGFERIE
AEEGKNNR;GENNAKER
EGILRSTÅ;GIRLÅSET GRÅLISTE SILGRÅTE
ADGIORTU;GITARDUO
EEGILMNO;GLIOMENE
BEGLORSU;GLOBUSER
ADEGKNOV;GODKVAEN
DEGKORSV;GODSKREV
AEGKORRT;GOKARTER
EGLORTUV;GOLVURET
ADEEGNOU;GOUDAENE
AEGLNRRU;GRANULER LANGURER
AEGKLRSS;GRASKLES
AEGJLORS;GRASOLJE
AEGRRSTU;GRASTUER TURSAGER
AEGHIMRT;GRIMHETA
EGIKLOPR;GRIPEKLO PILKOGRE
GIKORSTV;GROKVIST GROVSIKT
EGIKNRSÅ;GRÅSIKEN KÅSERING
EGLMNOSU;GULMOSEN LUNGEMOS
EEGLNSTY;GYLNESTE SLYNGETE
AEGMNSTY;GYMNASET SYNTAGME
ABEHILST;HABILEST
AGHKLNOR;HAGLKORN
AAEHINRT;HAIARTEN
AEEHILMR;HALEREIM
AEHILORV;HALIEROV
AEGHLMNS;HALMSENG
AEEHLNSV;HALSVENE HAVLENSE VANHELSE
AEHLNOTV;HALVNOTE HALVTONE
AEEHLMNT;HAMLETEN LAMHETEN
ADHKNORT;HANDKORT
ADEHKMNR;HANDKREM
ADEHINRV;HANDRIVE
AEEHPRST;HAREPEST HESTEPAR
AEEGHNRU;HAREUNGE
AEHIKPRS;HARPIKSE
AHILRSTV;HAVSTRIL
DEHINOST;HEDONIST
EEHILNOT;HEILNOTE HEILTONE
EEHIKLST;HEILSTEK HELSTEIK HIKSTELE
ABEEHIRS;HEISBARE
DEEHILRS;HELSIDER
EEHKLNOS;HELSKOEN
EEHINRSV;HENRIVES HENVISER
DEGHIRST;HERDIGST
AEGHNSTV;HEVSTANG
ADEHKOST;HODEKAST
AGHKORST;HOGSTKAR
EFHLNORS;HORNFELS
EHKLNORU;HORNULKE
DEHLNRTU;HULDRENT
ADEHKRSU;HUSDRAKE
AEFHNRSU;HUSFAREN
EHKORSTU;HUSKORET
AHKNORSU;HUSKRONA KORNHUSA
AEHLMRSU;HUSMALER
EHINORTV;HVITOREN
EGINORRT;IGNORERT ROTERING ROTGREIN
ADEIKLRR;ILDKARER ILDRAKER KALDRIER
EILLNORT;ILLROTEN
AEIKLLNT;ILLTANKE LIKTALEN
AEIIKLRS;ILSKERIA
EIMNOPST;IMPOSTEN IMPOTENS
EEIMRSTØ;IMØTESER
DEIMNRSØ;INDRESØM
AEFINNRT;INFANTER
EIJKNORT;INJEKTOR
AIKNNORT;INNKORTA NARKOTIN
EEILNNST;INNLESTE INNSELET LINNESTE
AEIMNNST;INNMATES
AEINNPRS;INNSPARE
EEINNORT;INTONERE INTROENE ORIENTEN
BDEINSTU;ISBUNDET
EEFILNSU;ISFLUENE
AEGHINSU;ISHAUGEN
EEIJKNRS;ISKJERNE JERNSKEI KJERNEIS KJERSIEN SKEIJERN
AEIKKLNS;ISKLAKEN KALKISEN SANIKKEL
AEIKMRRS;ISMARKER MARISKER MARKISER
AEEIJKRT;JAKTEIER
AEEJNRSU;JERNAUSE SJAUEREN SJAUERNE
AEJKLNRU;JERNKULA JERNLUKA
AEJNPRST;JERNSPAT
EIJNRSTU;JURISTEN
AEEJKLNS;KALESJEN SJAKLENE
AEEKKLNR;KALKEREN KALKERNE
ABEEKLNV;KALVEBEN
ABEEIKMN;KAMBIENE
AEIKLNNO;KAOLINEN
ADEEKLPS;KAPSLEDE KLAPSEDE
AEIKMNNR;KARMINEN
AEGIKNNS;KASINGEN SAKINGEN SENKINGA SNEKINGA
AEJKRSTU;KASJUTRE KURTASJE
ADEKNSTÅ;KASTEÅND NÅDESAKT TÅSKADEN
AEGJKNST;KJANGSET
AAGIKLNR;KLARINGA LARKINGA RAKLINGA
EEIKLNNR;KLINEREN KLINERNE
EGIKLNRR;KLINGRER KRINGLER
EIJKLNST;KLINSJET
AEHKLMOR;KLOHAMRE
EEKLMSTU;KLUMSETE SKUMLETE UTMELKES
GIKLNRTØ;KLØTRING
AEKNPRRS;KNASPRER SKARPNER
AEGKLNNT;KNELANGT
AEFKLNTØ;KNELØFTA
EGIKNNRT;KNERTING TREKNING
EFIKNORV;KNIVOFRE
EKLNRRTU;KNULTRER
EEKLNTUV;KNUVLETE
AAEEKLNO;KOALAENE
DEKLNORY;KONDYLER
BEGIKLNO;KONGEBIL
EEKNORRT;KONTERER REKONTRE REKTOREN TREEKORN TREKRONE
ABEKLOPR;KOPLBARE
EKLOPRTU;KOPULERT POKULERT PORTLUKE UTKOPLER
BEEKNORU;KORBUENE
EIKLORRT;KORTILER LIKTORER
AKLRSTVØ;KRAVLØST KØLSVART SVARTKØL
BDEEIKLR;KREDIBEL KREDIBLE
EIKKLNRT;KRINKLET
EIIKNRST;KRISTIEN STEINRIK
BEKMNRTU;KRUMBENT
GIKNRSTY;KRYSTING SKRYTING STRYKING STYRKING
BEEIKRTU;KUBEITER
AEFGKLNU;KULEFANG
AEKLRSUÅ;KULESÅRA
EEKLNRUØ;KULØRENE RØKELUEN
AGKLRSUV;KURSVALG
AGIKNRUV;KURVINGA
EGKNORUV;KUVOGNER
ADEGIKTV;KVITEDAG VEDAKTIG
DEEIKNTV;KVITENDE KVITNEDE TVIKENDE
AEIKLMSØ;KØLMEISA
EIKLRSVØ;KØLSVIER RIKSLØVE SØLVRIKE VIRKELØS
DEIKLNTØ;KØLTIDEN
EKNRSTUÅ;KÅRSTUEN UTSKÅREN UTSKÅRNE
EEIKNRTÅ;KÅTRIENE
ADEEKLNØ;LADEKØEN
AADELMNR;LANDARME MARALDEN
ABDGLNOR;LANGBORD
AEKLNOSS;LANSESKO
AEHLNORØ;LAOHØNER
AEEILNSS;LASSIENE SEILASEN SISALENE
AAGILNST;LASTINGA SALTINGA TASLINGA TILSAGNA
AAEILMST;LATMEISA
AAEKLNSV;LAVASKEN SKVALENA
AADEIKLN;LEIKANDA
DEEILNRY;LEIRDYEN LYDIEREN LYDIERNE
AAEFILRT;LEIRFATA
AEGHILRU;LEIRHAUG
EEHILNRU;LEIRHUEN
ADEEKLRY;LEKEDYRA
EEJLNORS;LESJONER OLJERENS
EEELNRST;LESTEREN LESTRENE RENLESTE
AAEILNTV;LEVIATAN
EEGHILRT;LIGHTERE
AAEIKLMR;LIKEARMA
ADEILNNT;LINDANET NIDTALEN TILDANNE
EEILLNRS;LINESLER SNILLERE
AADLNORT;LORTANDA
EILOPRSV;LOVPRISE PLOSIVER VORSPIEL
EELMNOTU;LUEMOTEN
EFLNRTUV;LUFTVERN
DEELNRUV;LURVENDE
DEIKLRTY;LYDRIKET
ADEGLNTY;LYDTEGNA
EGKLORSY;LYGEKORS
EGLNRTUY;LYNGTUER
BELNORSY;LYSBROEN
EELNRSVY;LYSEVNER
BEELNRTØ;LØBERTEN
EKLMNORØ;LØKORMEN
ELMNRSUØ;LØSNUMRE
EELRSTVØ;LØSREVET
AEGLNSVØ;LØVSAGEN
ADEILNSÅ;LÅNESIDA
AADEMRST;MADRASET
AEGMOPRT;MAGEPORT MOTGREPA
ABDELMOR;MALEBORD
AEIJLMNR;MANILJER
AEFILMRU;MARIFLUE
AEEKLMRØ;MARKELØE
ADEEGLMT;MATGLEDE
AEEGMNTV;MATVEGEN VEGMATEN
DEIKLMOS;MELODISK
AEGLMNOV;MELVOGNA
AEHIKLMN;MINKHALE
EIKLMNPS;MINKPELS
EILMNSTY;MISLYNTE
DEGILMOR;MODERLIG
DELMORTU;MODERLUT MODULERT
BEMNORSU;MOSEBRUN
AEFKLMOS;MOSEFLAK SAMEFOLK
EEIMORSV;MOSERIVE OMVISERE
EEKMORTU;MOTEUKER
DEEIMNOT;MOTIDEEN
EGIMNORV;MOVERING VOGNREIM VOMERING
EEGMNSTU;MUGNESTE
EGILMSTU;MULIGSTE
ADEIMNRY;MYRIADEN
EIKMRSTY;MYSTIKER RYTMISKE
EEKMNRTØ;MØRKNETE
AEKLMNRÅ;MÅNEKLAR NÅLMAKER
ADENNRSU;NARDUSEN SANDUREN SANNDRUE SNUNADER
AEGNNRTU;NATURENG
ADENSTVØ;NEDSTØVA
EEKNNORS;NEKROSEN NORSKENE SNOKEREN SNOKERNE SNOKNERE SNORKENE
AEEGNPRV;NEPEGRAV
AEINPRRT;NIPARTER TERRAPIN
DEEIKNRØ;NIRØKEDE RØDEIKEN
AELMNNOR;NORMALEN
EEMNOPRT;NOTEPERM TROMPENE
DEEIMNRU;NUMIDERE
AEFGNRTY;NYFARGET
EIKNRTVY;NYVIRKET
BDEORSTU;OBDUSERT STUEBORD SUBORDET
BEIOPRST;OBSTIPER
AEJKLNOT;OLJETANK
AEEJLORT;OLJETREA
AGIKLMNO;OMLAKING
AEKMOPST;OMSKAPTE
EELMORTV;OMVELTER
EIKLMORV;OMVIKLER
EGINNORS;ONSINGER ORNESING ROSINGEN SIGNOREN SONINGER
ADNORRST;ORDSNART
AEEGNORR;OREGRENA
AEEKLORR;ORERAKLE
AAEKMORS;ORMEASKA
BEENOSTU;OSTEBUEN
DEGIORTV;OVDIGERT TOVERDIG
DEEKORTV;OVERDEKT
EEKORSUV;OVERSKUE
AEKORSVY;OVERSKYA
AENNORTV;OVERTANN VANTROEN
AKLNOSUV;OVNSLUKA
ADEEKOPR;PEKEORDA
ABEEILPR;PERLEBIA
AEGIMNPT;PIGMENTA
DEEILNPS;PILSENDE SIPLENDE SLIPENDE SPILENDE
EEGILNPT;PINGLETE
AELPRRST;PLASTRER
ELNOPRSØ;PORSØLEN SØRPOLEN
EKOPRSTV;POSTVERK
AEKLPRSY;PRALESYK
DEEIKPRS;PREDIKES SPIKREDE SPRIKEDE
EEGIKPRT;PREKTIGE
EEIPRSTV;PRESTEVI RESEPTIV
EIMNPRSU;PRIMUSEN PURISMEN
AINOPRTV;PROVIANT
AGINPRTU;PRUTINGA PUTRINGA
EGNOPRTU;PUNGOTER PUNGOTRE
AEFNORRS;RANSOFRE
AEGGLNRS;REGNSLAG SEGLGARN SLAGREGN
AEILMRSÅ;REIMLÅSA
EIKNRRSU;REINSKUR
AEGIINRS;REISINGA SEIRINGA
EEGINRUV;REIVUNGE
AAEEGKLR;REKELAGA
AEEMNNRT;REMANENT
EGILMNPR;REMPLING
AIKMRSTØ;RIKSMØTA
AGILNRSÅ;RINGLÅSA SIGNALRÅ
EEIKLRUV;RIVEKULE
AAEFORST;ROESAFTA
EKMNORSY;ROMSYKEN
EKMORSTØ;ROMSØKET
AIKORRST;RORKISTA STORRIKA
EEILNORR;RORLEIEN
AAGLORST;ROTSALGA STORLAGA
AEORRSTV;ROTVASER STORARVE TRAVERSO VARESORT
EELNORTÅ;ROTÅLENE
AFGIRSTU;RUSGIFTA
EEGILRSY;RYSELIGE
EGKNRTUØ;RØKTUNGE
AEGLNNOS;SALONGEN
ABEEMRSU;SAMBUERE
ADFILNOS;SANDFIOL
ADGNOPRS;SANDGROP
AAEGNSTU;SAUETANG TANGAUSE
ABEFGORS;SEBOGRAF
DEEGIRSV;SEVERDIG VEGSIDER VERDIGES
GHINORST;SHORTING
AADEIKST;SIDETAKA
DEGILRSØ;SIGDØLER
ABDEILSU;SILDEBUA
ADEILRSS;SILDERAS
DEEIKLSU;SILKEDUE
AEHIKLSU;SILKEHUA
EEILMPRS;SIMPLERE SLIPEREM
EEINPSTU;SITUPENE
AFIKMNST;SKAMFINT
ADEGKMOS;SKAMGODE
ADEKMRSØ;SKAMRØDE
AGIKNRRS;SKARRING
ABKNOSTU;SKAUBOTN
AIKLSTUV;SKAUVILT
AEJKNRSV;SKAVJERN
AAEGIKLS;SKEILAGA
DEEIKMST;SKIMTEDE
ADEJKLRS;SKJELDRA
AEEKLLRS;SKLERALE
DEGKNOSU;SKOGDUEN
EGKLNOSØ;SKOGLØEN SNOKØGLE ØGLESNOK
AEKLRRSV;SKRAVLER
DEIKNNRS;SKRINDEN
ABEKNRSÅ;SKRÅBENA
EEKLRSTÅ;SKRÅLETE TESKÅLER
EEKNRSUY;SKYRUENE
EGILNRSS;SLINGRES SLINGSER
DEELMRSU;SLUMREDE
EKLNNRSU;SLUNKNER
ELNRSSTU;SLUNTRES SNULTRES
GILNRSUV;SLURVING
DEEKMNOS;SMEDKONE
AGILMNSU;SMULINGA
EGLMRSTØ;SMØRTELG
AEKMRSTÅ;SMÅARKET
AAENRSUV;SNAUARVE
AEEENORS;SOAREENE
EEGKNOSV;SOKNEVEG
EEFGLNOS;SOLFEGEN
EILORSST;SOLISTER STORSEIL
DEINORRS;SORDINER
EEGHORST;SOTHEGRE
EKLOSTUV;SOVELUKT
AAEILPRS;SPALIERA
AELNPRSÅ;SPARELÅN
EEKLPRSU;SPEKULER
AGILNOPS;SPOLINGA
AGLPRSTU;SPRUTGAL
EIMNRSTÅ;STEINMÅR ÅRSTIMEN
EENORSST;STENOSER TROSSENE
EJKLORST;STORKJEL
EKKNORST;STROKKEN
EENPRSTØ;STØPEREN STØPERNE
AELMNSTÅ;STÅLEMNA
ABIMNRSU;SUBMARIN
DEFILRSU;SULFIDER
ABDEERSV;SVABREDE
EGLMORSV;SVELGROM
AEGINPSV;SVEPINGA
BEILNOSV;SVINEBOL
EEIMNRSY;SYREIMEN
DEEGNRSØ;SØRGENDE
AAEEGINT;TAIGAENE
AEEFLRTØ;TALEFØRE
AELLRSTU;TALLUSER
AEENRRTV;TAVERNER TRAVEREN TRAVERNE TREVAREN
EEGLOPRT;TELEGROP
AEEHLSTU;TELEHUSA
EEKLOPST;TELESKOP
AHIKRSTU;THAIKURS
EEHIMNRT;THEREMIN
EEIKMRTV;TIMEVERK
DEGNORTØ;TOGDØREN
EEGINOTV;TOGVEIEN
ADILOSTV;TOLVSIDA
ENNORSTU;TONSUREN
AEKNRTVÅ;TRANEVÅK
ADEELRRT;TREALDER
AAEHLRST;TREHALSA
AEFIRRST;TRESIFRA
EFIMNRTU;TRIUMFEN
EELMNRTY;TRYNEMEL
ADENRRTU;TUNDRAER UNDERART
BDEILRTU;TURBILDE URBILDET
AAEGLRTU;TURELAGA UGLEARTA
DEKLRTUV;TURKVELD
AEHIKNTV;TVIHAKEN
EEGNORTY;TYREOGEN
EKNORTVØ;TØRKEOVN
EEFIKRSU;UERFISKE
ADEFLORU;UFOREDLA
EEIKMNTU;UKETIMEN UMINKETE
